Block Height,Block Time,Tx Output,Text
51140,2024-10-20 21:39:48 +08:00,0a5e48a4f23f64a82919b74bdb1dd25551849dd338d8f1473785a6b171621e82:0,"Hallo, Welt 你好，世界"
51140,2024-10-20 21:39:48 +08:00,890961f8cbef9e6aec44815c7e151247a984317628c11f8b9433072fe5988715:0,"Hallo, Welt 你好，世界2"
51141,2024-10-20 21:59:49 +08:00,79b1b4a104d0e14c583a710fb996f5cd6d456f07d971f715727a16b47169e166:0,输出不支持non-standard脚本？？？
54074,2024-11-10 00:40:53 +08:00,6a2998062461aed0c273966b3869404418f5cd399d3ba56748a156c169a9381b:0,M0 按Order拼接得a.avif(7614B) Order: 00000-005-00001-080-240-26-b6-ae-0
54211,2024-11-11 15:24:03 +08:00,7501e19cc1c97e4a7f41bf5b7a9364d45a08353de543de5c9f8d5c19d27237b3:0,花费P2WSH测试 bczhc
54214,2024-11-11 16:24:06 +08:00,39bfdee89fade142f4b4b637fff54ddf8f7dba44bd23a2605e7bd02e8550ff69:0,见证放入其他数据测试
54239,2024-11-12 00:44:31 +08:00,b66c4741fa181c171f7d46d5d2f46497c8ffc4b5e0e4c9576fdad78b20f81006:1,自转账。使用 bczhc.github.io/bitcoin-tx-builder 构建
54239,2024-11-12 00:44:31 +08:00,05d16177aa182a7f5fcfb2f52695d5faa24c13af92ea9a9415b4b4f31ecda505:0,OP_RETURN不为零导致超maxburnamount
54240,2024-11-12 01:04:32 +08:00,a51ab7b3d7cdec29900eb12228842f8f74d84fca3d718480666a2f9402c528fd:0,2+3=5，p2w-p2pk-sh?哦放不了。mandatory-script-verify-flag-failed
54240,2024-11-12 01:04:32 +08:00,dd75ab370b1440176dd41da300bd98a03f1360aa06357f1b850c9e4dfe63af2c:0,销毁 to OP_FALSE script hash
54241,2024-11-12 01:24:33 +08:00,e58650d66c234007f5a6a427304671db08b317caf68113197e0b55b8498a77c3:0,OP_DROP OP_TRUE 放一些数据
